Particle_Size,Time,Penetration_Depth
50,34.0,0.18181818181818182
50,34.2,0.18686868686868688
50,34.4,0.18686868686868688
50,34.6,0.18686868686868688
50,34.800000000000004,0.18686868686868688
50,35.0,0.18686868686868688
50,35.2,0.18686868686868688
50,35.4,0.18686868686868688
50,35.6,0.19191919191919193
50,35.800000000000004,0.19191919191919193
50,36.0,0.19191919191919193
50,36.2,0.19191919191919193
50,36.4,0.19191919191919193
50,36.6,0.19191919191919193
50,36.800000000000004,0.19191919191919193
50,37.0,0.196969696969697
50,37.2,0.196969696969697
50,37.4,0.196969696969697
50,37.6,0.196969696969697
50,37.800000000000004,0.196969696969697
50,38.0,0.196969696969697
50,38.2,0.196969696969697
50,38.400000000000006,0.196969696969697
50,38.6,0.20202020202020204
50,38.800000000000004,0.20202020202020204
50,39.0,0.20202020202020204
50,39.2,0.20202020202020204
50,39.400000000000006,0.20202020202020204
50,39.6,0.20202020202020204
50,39.800000000000004,0.20202020202020204
50,40.0,0.2070707070707071
50,40.2,0.2070707070707071
50,40.400000000000006,0.2070707070707071
50,40.6,0.2070707070707071
50,40.800000000000004,0.2070707070707071
50,41.0,0.2070707070707071
50,41.2,0.2070707070707071
50,41.400000000000006,0.2070707070707071
50,41.6,0.21212121212121213
50,41.800000000000004,0.21212121212121213
50,42.0,0.21212121212121213
50,42.2,0.21212121212121213
50,42.400000000000006,0.21212121212121213
50,42.6,0.21212121212121213
50,42.800000000000004,0.21212121212121213
50,43.0,0.21717171717171718
50,43.2,0.21717171717171718
50,43.400000000000006,0.21717171717171718
50,43.6,0.21717171717171718
50,43.800000000000004,0.21717171717171718
50,44.0,0.21717171717171718
50,44.2,0.21717171717171718
50,44.400000000000006,0.21717171717171718
50,44.6,0.22222222222222224
50,44.800000000000004,0.22222222222222224
50,45.0,0.22222222222222224
50,45.2,0.22222222222222224
50,45.400000000000006,0.22222222222222224
50,45.6,0.22222222222222224
50,45.800000000000004,0.22222222222222224
50,46.0,0.22222222222222224
50,46.2,0.2272727272727273
50,46.400000000000006,0.2272727272727273
50,46.6,0.2272727272727273
50,46.800000000000004,0.2272727272727273
50,47.0,0.2272727272727273
50,47.2,0.2272727272727273
50,47.400000000000006,0.2272727272727273
50,47.6,0.2272727272727273
50,47.800000000000004,0.2272727272727273
50,48.0,0.23232323232323235
50,48.2,0.23232323232323235
50,48.400000000000006,0.23232323232323235
50,48.6,0.23232323232323235
50,48.800000000000004,0.23232323232323235
50,49.0,0.23232323232323235
50,49.2,0.23232323232323235
50,49.400000000000006,0.23232323232323235
50,49.6,0.2373737373737374
50,49.800000000000004,0.2373737373737374
50,50.0,0.2373737373737374
50,50.2,0.2373737373737374
50,50.400000000000006,0.2373737373737374
50,50.6,0.2373737373737374
50,50.800000000000004,0.2373737373737374
50,51.0,0.2373737373737374
50,51.2,0.2373737373737374
50,51.400000000000006,0.24242424242424243
50,51.6,0.24242424242424243
50,51.800000000000004,0.24242424242424243
50,52.0,0.24242424242424243
50,52.2,0.24242424242424243
50,52.400000000000006,0.24242424242424243
50,52.6,0.24242424242424243
50,52.800000000000004,0.24242424242424243
