ParticleSize,Pressure,HydraulicConductivity,UptakeRate,DrugReleaseRate,PredictedPenetration,PredictedMaxConc,PredictedCoverage,DeliveryTime
20.0,20.0,8e-07,0.04,0.1,0.26316735,0.9406172,52.865536,35.682343
20.0,20.0,1e-06,0.04,0.005,0.26912332,0.44942197,54.110325,53.765656
20.0,20.0,1e-06,0.04,0.0525,0.2971355,0.9504364,59.580345,30.735212
20.0,20.0,1e-06,0.04,0.1,0.3024946,0.9515988,60.533165,28.200592
20.0,20.0,1.2e-06,0.04,0.005,0.27813342,0.45125458,56.197098,49.36187
20.0,20.0,1.2e-06,0.04,0.0525,0.3147653,0.95261556,63.489464,28.537846
20.0,20.0,1.2e-06,0.04,0.1,0.31727582,0.95479274,63.93744,25.94645
20.0,20.0,8e-07,0.06,0.005,0.18428256,0.43872282,37.48101,85.85352
20.0,20.0,8e-07,0.06,0.0525,0.21124679,0.91604733,42.849167,43.50749
20.0,20.0,8e-07,0.06,0.1,0.21238658,0.9179107,43.133102,38.59444
20.0,20.0,1e-06,0.06,0.005,0.21313247,0.441887,43.050373,66.905365
20.0,20.0,1e-06,0.06,0.0525,0.24628136,0.9282265,49.416912,35.150738
20.0,20.0,1e-06,0.06,0.1,0.24460427,0.92972755,49.295265,32.017982
20.0,20.0,1.2e-06,0.06,0.005,0.24502374,0.44259512,49.51123,61.295025
20.0,20.0,1.2e-06,0.06,0.0525,0.26317272,0.92975134,52.91952,32.415234
20.0,20.0,1.2e-06,0.06,0.1,0.2613714,0.9324583,52.70349,29.884695
20.0,20.0,8e-07,0.08,0.005,0.16718525,0.42275605,34.080357,92.83131
20.0,20.0,8e-07,0.08,0.0525,0.1865876,0.8896407,38.02911,52.44383
20.0,20.0,8e-07,0.08,0.1,0.18744904,0.8926475,38.14111,45.663773
20.0,20.0,1e-06,0.08,0.005,0.18488914,0.42610875,37.581543,77.18385
20.0,20.0,1e-06,0.08,0.0525,0.2085354,0.9089813,42.200123,36.44595
20.0,20.0,1e-06,0.08,0.1,0.2068313,0.9118274,41.75334,33.991203
20.0,20.0,1.2e-06,0.08,0.005,0.20445155,0.42588392,41.382675,72.7133
20.0,20.0,1.2e-06,0.08,0.0525,0.22497527,0.91301054,45.55481,33.706486
20.0,20.0,1.2e-06,0.08,0.1,0.22238927,0.91782635,45.06196,30.374006
20.0,20.0,8e-07,0.1,0.005,0.14795032,0.42383337,30.172832,86.39313
20.0,20.0,8e-07,0.1,0.0525,0.16091242,0.8679815,32.605682,68.97523
20.0,20.0,8e-07,0.1,0.1,0.16808121,0.87034804,34.10193,51.106808
20.0,20.0,1e-06,0.1,0.005,0.15941858,0.42718607,32.560467,85.470116
20.0,20.0,1e-06,0.1,0.0525,0.17584625,0.88351274,35.479805,58.649334
20.0,20.0,1e-06,0.1,0.1,0.18365459,0.88581204,37.016018,42.57178
20.0,20.0,1.2e-06,0.1,0.005,0.17645617,0.4275723,35.961025,97.133
20.0,20.0,1.2e-06,0.1,0.0525,0.19578773,0.89110845,39.577366,47.110527
20.0,20.0,1.2e-06,0.1,0.1,0.19556525,0.8942159,39.68988,42.745995
20.0,22.5,8e-07,0.02,0.005,0.28217176,0.4613711,56.705227,58.54661
20.0,22.5,8e-07,0.02,0.0525,0.32899618,0.9671996,66.239586,32.25218
20.0,22.5,8e-07,0.02,0.1,0.33225638,0.9692825,66.63796,29.71032
20.0,22.5,1e-06,0.02,0.005,0.30208817,0.46502236,60.717964,46.68452
20.0,22.5,1e-06,0.02,0.0525,0.3564927,0.9729778,71.64339,28.057724
20.0,22.5,1e-06,0.02,0.1,0.35789418,0.9751952,71.93033,25.378786
20.0,22.5,1.2e-06,0.02,0.005,0.32977033,0.46685496,66.18129,44.844498
20.0,22.5,1.2e-06,0.02,0.0525,0.38170025,0.9759483,76.6154,25.650919
20.0,22.5,1.2e-06,0.02,0.1,0.3806434,0.9781221,76.37183,23.224758
20.0,22.5,8e-07,0.04,0.005,0.2653249,0.4422604,53.34685,59.293926
20.0,22.5,8e-07,0.04,0.0525,0.28321296,0.9426757,57.154633,33.91465
20.0,22.5,8e-07,0.04,0.1,0.2887151,0.94305056,57.81967,31.098253
20.0,22.5,1e-06,0.04,0.005,0.27409565,0.45052445,55.17872,48.125004
20.0,22.5,1e-06,0.04,0.0525,0.3117787,0.9505065,62.61196,29.416811
20.0,22.5,1e-06,0.04,0.1,0.3167214,0.95116764,63.340652,26.394386
20.0,22.5,1.2e-06,0.04,0.005,0.28903896,0.45235705,58.27107,45.628574
20.0,22.5,1.2e-06,0.04,0.0525,0.34082782,0.9564887,68.78594,26.004133
20.0,22.5,1.2e-06,0.04,0.1,0.3436061,0.9574046,68.98639,23.036566
20.0,22.5,8e-07,0.06,0.005,0.20117502,0.43878347,40.81512,72.808014
20.0,22.5,8e-07,0.06,0.0525,0.22950865,0.9250861,46.58607,40.53868
20.0,22.5,8e-07,0.06,0.1,0.23061137,0.9257996,46.773964,35.368813
20.0,22.5,1e-06,0.06,0.005,0.22786406,0.44264084,46.172565,60.218655
20.0,22.5,1e-06,0.06,0.0525,0.2668858,0.93568826,53.87442,31.26015
20.0,22.5,1e-06,0.06,0.1,0.26609632,0.93668807,53.789036,27.638268
20.0,22.5,1.2e-06,0.06,0.005,0.26566362,0.44334897,53.708897,57.32439
20.0,22.5,1.2e-06,0.06,0.0525,0.29015884,0.9390039,58.719227,27.358797
20.0,22.5,1.2e-06,0.06,0.1,0.2899293,0.9400138,58.516098,24.450764
20.0,22.5,8e-07,0.08,0.005,0.17568691,0.4228167,35.76674,83.809265
20.0,22.5,8e-07,0.08,0.0525,0.19221032,0.89035165,39.062744,44.921787
20.0,22.5,8e-07,0.08,0.1,0.19233888,0.89220864,39.03019,41.40023
20.0,22.5,1e-06,0.08,0.005,0.19725926,0.42686504,40.16214,71.69065
